row_id	conversation_id	utterance_id	context	target	emotion
0	1	1	> Chandler: `Alright , so I am back in high school , I am standing in the middle of the cafeteria , and I realize I am totally naked .`	Alright , so I am back in high school , I am standing in the middle of the cafeteria , and I realize I am totally naked .	neutral
1	1	2	> Chandler: `Alright , so I am back in high school , I am standing in the middle of the cafeteria , and I realize I am totally naked .` > All: `Oh , yeah . Had that dream .`	Oh , yeah . Had that dream .	neutral
2	1	3	> Chandler: `Alright , so I am back in high school , I am standing in the middle of the cafeteria , and I realize I am totally naked .` > All: `Oh , yeah . Had that dream .` > Chandler: `Then I look down , and I realize there is a phone ... there .`	Then I look down , and I realize there is a phone ... there .	surprise
3	1	4	> Chandler: `Alright , so I am back in high school , I am standing in the middle of the cafeteria , and I realize I am totally naked .` > All: `Oh , yeah . Had that dream .` > Chandler: `Then I look down , and I realize there is a phone ... there .` > Joey: `Instead of ... ?`	Instead of ... ?	surprise
4	1	5	> All: `Oh , yeah . Had that dream .` > Chandler: `Then I look down , and I realize there is a phone ... there .` > Joey: `Instead of ... ?` > Chandler: `That is right .`	That is right .	anger
5	1	6	> Chandler: `Then I look down , and I realize there is a phone ... there .` > Joey: `Instead of ... ?` > Chandler: `That is right .` > Joey: `Never had that dream .`	Never had that dream .	neutral
6	1	7	> Joey: `Instead of ... ?` > Chandler: `That is right .` > Joey: `Never had that dream .` > Phoebe: `No .`	No .	neutral
7	1	8	> Chandler: `That is right .` > Joey: `Never had that dream .` > Phoebe: `No .` > Chandler: `All of a sudden , the phone starts to ring .`	All of a sudden , the phone starts to ring .	neutral
8	2	1	> Ross: `I do not want to be single , okay ? I just ... I just ... I just wanna be married again !`	I do not want to be single , okay ? I just ... I just ... I just wanna be married again !	sadness
9	2	2	> Ross: `I do not want to be single , okay ? I just ... I just ... I just wanna be married again !` > Chandler: `And I just want a million dollars !`	And I just want a million dollars !	neutral
10	2	3	> Ross: `I do not want to be single , okay ? I just ... I just ... I just wanna be married again !` > Chandler: `And I just want a million dollars !` > Monica: `Rachel ? !`	Rachel ? !	surprise
11	3	1	> Monica: `Oh my God !`	Oh my God !	surprise
12	3	2	> Monica: `Oh my God !` > Paul: `I know , I know , I am such an idiot .`	I know , I know , I am such an idiot .	neutral
13	3	3	> Monica: `Oh my God !` > Paul: `I know , I know , I am such an idiot .` > Paul: `I guess I should have caught on when she started going to the dentist four and five times a week . I mean , how clean can teeth get ?`	I guess I should have caught on when she started going to the dentist four and five times a week . I mean , how clean can teeth get ?	sadness
14	3	4	> Monica: `Oh my God !` > Paul: `I know , I know , I am such an idiot .` > Paul: `I guess I should have caught on when she started going to the dentist four and five times a week . I mean , how clean can teeth get ?` > Monica: `My brother going through that right now , he is such a mess . How did you get through it ?`	My brother going through that right now , he is such a mess . How did you get through it ?	neutral
15	3	5	> Paul: `I know , I know , I am such an idiot .` > Paul: `I guess I should have caught on when she started going to the dentist four and five times a week . I mean , how clean can teeth get ?` > Monica: `My brother going through that right now , he is such a mess . How did you get through it ?` > Paul: `Well , you might try accidentally breaking something valuable of hers , say her ...`	Well , you might try accidentally breaking something valuable of hers , say her ...	neutral
16	3	6	> Paul: `I guess I should have caught on when she started going to the dentist four and five times a week . I mean , how clean can teeth get ?` > Monica: `My brother going through that right now , he is such a mess . How did you get through it ?` > Paul: `Well , you might try accidentally breaking something valuable of hers , say her ...` > Monica: `leg ?`	leg ?	surprise
17	3	7	> Monica: `My brother going through that right now , he is such a mess . How did you get through it ?` > Paul: `Well , you might try accidentally breaking something valuable of hers , say her ...` > Monica: `leg ?` > Paul: `That is one way !`	That is one way !	joy
18	3	8	> Paul: `Well , you might try accidentally breaking something valuable of hers , say her ...` > Monica: `leg ?` > Paul: `That is one way !` > Paul: `Me , I ... I went for the watch .`	Me , I ... I went for the watch .	neutral
19	3	9	> Monica: `leg ?` > Paul: `That is one way !` > Paul: `Me , I ... I went for the watch .` > Monica: `You actually broke her watch ?`	You actually broke her watch ?	surprise
20	4	1	> Rachel: `Barry , I am sorry ...`	Barry , I am sorry ...	sadness
21	4	2	> Rachel: `Barry , I am sorry ...` > Rachel: `I am so sorry ...`	I am so sorry ...	sadness
22	4	3	> Rachel: `Barry , I am sorry ...` > Rachel: `I am so sorry ...` > Rachel: `I know you probably think that this is all about what I said the other day about you making love with your socks on , but it is not ... it is not , it is about me , and I ju ...`	I know you probably think that this is all about what I said the other day about you making love with your socks on , but it is not ... it is not , it is about me , and I ju ...	sadness
23	5	1	> Rachel: `Oh , look , wish me luck !`	Oh , look , wish me luck !	joy
24	5	2	> Rachel: `Oh , look , wish me luck !` > Monica: `What for ?`	What for ?	neutral
25	5	3	> Rachel: `Oh , look , wish me luck !` > Monica: `What for ?` > Rachel: `I am gonna go get one of those job things .`	I am gonna go get one of those job things .	joy
26	6	1	> Ross: `You know you probably did not know this , but back in high school , I had a , um , major crush on you .`	You know you probably did not know this , but back in high school , I had a , um , major crush on you .	neutral
27	6	2	> Ross: `You know you probably did not know this , but back in high school , I had a , um , major crush on you .` > Rachel: `I knew .`	I knew .	neutral
28	6	3	> Ross: `You know you probably did not know this , but back in high school , I had a , um , major crush on you .` > Rachel: `I knew .` > Ross: `You did ! Oh ...`	You did ! Oh ...	surprise
29	6	4	> Ross: `You know you probably did not know this , but back in high school , I had a , um , major crush on you .` > Rachel: `I knew .` > Ross: `You did ! Oh ...` > Ross: `I always figured you just thought I was Monica geeky older brother .`	I always figured you just thought I was Monica geeky older brother .	neutral
