entries	count
?	120
.	115
!	62
...	19
""""	17
, huh ?	16
? !	16
, right ?	9
, Ross .	6
, okay ?	6
? ?	5
,	4
... ?	4
, Rachel .	3
... Ohh !	3
, alright ?	2
, 37135 .	2
, remember ?	2
, so	2
, but ...	2
, Ross !	2
, okay .	2
! !	2
, Joe .	2
, Chandler .	2
""" ."	2
... oh .	2
? Victor ?	2
, guys .	2
, ok ?	2
, huh .	1
, ew ...	1
, anyway ?	1
, hmm .	1
, buddy !	1
, team !	1
, and ...	1
, uh ?	1
, and	1
, please ?	1
, yeah !	1
, ahh ...	1
, wow !	1
, fella !	1
, uh ...	1
, or	1
, whatever ...	1
, whenever .	1
. Sorry .	1
, left !	1
, yes .	1
, thanks !	1
, why ?	1
